DateTime,TrialStartTime,TimeSinceStart,Date,Day_numrecord,Time,Trial,Treatment,Cline,Cline_seg,Urch_STILL,Urch_MOVING,Urch_WALL,urch_GRAZE,urch_TOUCHKELP,urch_CREVICE,TOTAL_clinesegURCH,Pyc_position,Pyc_moving,Pyc_touching_urch,Pyc_eating_urch,Notes
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,12,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,12,R,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,1,R,3,0,2,0,0,0,3,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,2,L,3,0,1,0,0,1,3,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,2,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,3,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,3,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,4,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,4,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,5,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,5,R,1,0,0,0,0,0,1,0,0,0,0,
