"","Treatment","Trial","Rep_per_trial","Date_before","Time_before","Date_after","Time_after","Trial_Temp","Tank","Kelp_ID","kelp color","Kelp_weight_before_g","length before cm","Kelp_weight_after_g","avg_pyc_position","avg_dist_from_pyc","pyc_pcnt_activity","pyc_avg_dist_moved","weight_diff","weight_pcnt_change","up_down","up_down_ratio","pos_weight_pcnt_change"
"76","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,4,"Red",26.6704,20,25.6941,7.75,4.86111111111111,54.5454545454545,2.81818181818182,0.976300000000002,3.66061251424801,"Up",1.4,3.66061251424801
"77","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,5,"Red",26.7093,20,24.2411,7.75,4.86111111111111,54.5454545454545,2.81818181818182,2.4682,9.24097598963657,"Up",1.4,9.24097598963657
"78","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,6,"Red",17.6178,20,10.7273,7.75,4.86111111111111,54.5454545454545,2.81818181818182,6.8905,39.111012725766,"Up",1.4,39.111012725766
"79","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,7,"Red",17.4689,20,13.1575,7.75,4.86111111111111,54.5454545454545,2.81818181818182,4.3114,24.6804320821574,"Up",1.4,24.6804320821574
"80","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,8,"Red",22.6169,20,19.6247,7.75,4.86111111111111,54.5454545454545,2.81818181818182,2.9922,13.2299298312324,"Down",1.4,13.2299298312324
"81","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,9,"Red",17.7394,20,14.4958,7.75,4.86111111111111,54.5454545454545,2.81818181818182,3.2436,18.2847221439282,"Down",1.4,18.2847221439282
"82","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,10,"Red",18.5813,20,6.6904,7.75,4.86111111111111,54.5454545454545,2.81818181818182,11.8909,63.9939078535947,"Down",1.4,63.9939078535947
"83","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,11,"Red",16.5387,20,15.2489,7.75,4.86111111111111,54.5454545454545,2.81818181818182,1.2898,7.79867825161589,"Down",1.4,7.79867825161589
"84","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,12,"Red",19.9204,20,18.2296,7.75,4.86111111111111,54.5454545454545,2.81818181818182,1.6908,8.48778136985201,"Down",1.4,8.48778136985201
"85","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,1,"Blue",24.1472,20,2.0429,3,5.32051282051282,16.6666666666667,1.5,22.1043,91.5398058574079,"Up",0.2,91.5398058574079
"86","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,2,"Blue",18.579,20,11.8657,3,5.32051282051282,16.6666666666667,1.5,6.7133,36.1338069863825,"Up",0.2,36.1338069863825
"87","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,3,"Blue",15.6407,20,6.1884,3,5.32051282051282,16.6666666666667,1.5,9.4523,60.4339959208987,"Down",0.2,60.4339959208987
"88","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,4,"Blue",16.5365,20,12.3355,3,5.32051282051282,16.6666666666667,1.5,4.201,25.404408429837,"Down",0.2,25.404408429837
"89","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,5,"Blue",28.4005,20,23.7132,3,5.32051282051282,16.6666666666667,1.5,4.6873,16.5042868963575,"Down",0.2,16.5042868963575
"90","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,6,"Blue",26.4874,20,11.3828,3,5.32051282051282,16.6666666666667,1.5,15.1046,57.0256046271057,"Down",0.2,57.0256046271057
"91","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,7,"Blue",19.2925,20,10.4573,3,5.32051282051282,16.6666666666667,1.5,8.8352,45.7960347285214,"Down",0.2,45.7960347285214
"92","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,8,"Blue",24.0792,20,23.5837,3,5.32051282051282,16.6666666666667,1.5,0.4955,2.05779261769494,"Down",0.2,2.05779261769494
"93","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,9,"Blue",24.4088,20,20.9892,3,5.32051282051282,16.6666666666667,1.5,3.4196,14.0097014191603,"Down",0.2,14.0097014191603
"94","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,10,"Blue",22.3603,20,19.8492,3,5.32051282051282,16.6666666666667,1.5,2.5111,11.2301713304383,"Down",0.2,11.2301713304383
"95","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,11,"Blue",20.3751,20,19.0396,3,5.32051282051282,16.6666666666667,1.5,1.3355,6.55456905732978,"Down",0.2,6.55456905732978
"96","Active","5","2","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,2,12,"Blue",21.3613,20,15.9618,3,5.32051282051282,16.6666666666667,1.5,5.3995,25.2770196570433,"Down",0.2,25.2770196570433
"97","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,1,"Red",36.57,20,32.4729,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,4.0971,11.2034454470878,"Up",0.0909090909090909,11.2034454470878
"98","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,2,"Red",26.7636,20,17.7951,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,8.9685,33.5100659104156,"Down",0.0909090909090909,33.5100659104156
"99","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,3,"Red",34.0068,20,30.9715,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,3.0353,8.92556782761095,"Down",0.0909090909090909,8.92556782761095
"100","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,4,"Red",34.3936,20,34.2773,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,0.116300000000003,0.338144305917387,"Down",0.0909090909090909,0.338144305917387
"101","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,5,"Red",31.9556,20,31.11,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,0.845600000000001,2.64617156304373,"Down",0.0909090909090909,2.64617156304373
"102","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,6,"Red",32.4835,20,27.3237,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,5.1598,15.884372065818,"Down",0.0909090909090909,15.884372065818
"103","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,7,"Red",33.1642,20,33.3104,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,-0.1462,-0.440836805953409,"Down",0.0909090909090909,1e-05
"104","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,8,"Red",31.8796,20,28.7152,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,3.1644,9.92609693973576,"Down",0.0909090909090909,9.92609693973576
"105","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,9,"Red",30.4439,20,22.6894,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,7.7545,25.4714409126295,"Down",0.0909090909090909,25.4714409126295
"106","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,10,"Red",29.6836,20,27.0838,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,2.5998,8.75837162608308,"Down",0.0909090909090909,8.75837162608308
"107","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,11,"Red",28.5825,20,20.567,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,8.0155,28.0433831890143,"Down",0.0909090909090909,28.0433831890143
"108","Active","6","1","7/26/23",15:00:00,"7/29/23",17:21:00,12.6,1,12,"Red",30.7017,20,18.1255,1.53846153846154,5.16666666666667,16.6666666666667,0.583333333333333,12.5762,40.962552562236,"Down",0.0909090909090909,40.962552562236
"109","Active","7","1","7/30/23",17:21:00,"8/2/23",17:21:00,12.1,2,1,"Blue",33.4603,20,26.8699,4.54545454545454,4.78787878787879,40,2.1,6.5904,19.6961772608135,"Up",0.5,19.6961772608135
"110","Active","7","1","7/30/23",17:21:00,"8/2/23",17:21:00,12.1,2,2,"Blue",23.4634,20,22.9067,4.54545454545454,4.78787878787879,40,2.1,0.556699999999999,2.37263141744163,"Up",0.5,2.37263141744163
"111","Active","7","1","7/30/23",17:21:00,"8/2/23",17:21:00,12.1,2,3,"Blue",34.4078,20,13.6995,4.54545454545454,4.78787878787879,40,2.1,20.7083,60.1848999354797,"Up",0.5,60.1848999354797
"112","Active","7","1","7/30/23",17:21:00,"8/2/23",17:21:00,12.1,2,4,"Blue",30.9665,20,22.6338,4.54545454545454,4.78787878787879,40,2.1,8.3327,26.9087562365782,"Up",0.5,26.9087562365782
"113","Active","7","1","7/30/23",17:21:00,"8/2/23",17:21:00,12.1,2,5,"Blue",32.5604,20,28.5751,4.54545454545454,4.78787878787879,40,2.1,3.9853,12.2397144998219,"Down",0.5,12.2397144998219
"114","Active","7","1","7/30/23",17:21:00,"8/2/23",17:21:00,12.1,2,6,"Blue",30.2009,20,27.7798,4.54545454545454,4.78787878787879,40,2.1,2.4211,8.01664851047485,"Down",0.5,8.01664851047485
"115","Active","7","1","7/30/23",17:21:00,"8/2/23",17:21:00,12.1,2,7,"Blue",21.9688,20,18.446,4.54545454545454,4.78787878787879,40,2.1,3.5228,16.0354684825753,"Down",0.5,16.0354684825753
